Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,251.40,257.25,251.40,255.30,256.032025513339006869,1479383,7209,378769426.00,394407,26.66,5.85,3.90
29-December-2016,254.00,254.00,250.20,251.15,251.249216960145208238,361412,3647,90804482.00,105222,29.11,3.80,-2.85
28-December-2016,254.00,254.90,251.00,251.60,252.953080910560857296,504656,4409,127654290.00,96764,19.17,3.90,-2.40
27-December-2016,249.00,254.45,246.90,253.30,250.166096506855764029,541661,4305,135505218.00,116155,21.44,7.55,4.30
26-December-2016,251.10,252.00,247.20,248.40,248.806231652050536495,428522,4302,106618944.00,129042,30.11,4.80,-2.70
23-December-2016,253.55,254.70,250.20,251.95,252.958932048690901372,541785,5158,137049355.00,173531,32.03,4.50,-1.60
22-December-2016,253.00,254.90,250.65,253.00,252.695905034539356773,619004,4895,156419776.00,195235,31.54,4.25,0.00
21-December-2016,252.40,255.15,251.30,253.35,253.518534481206202931,832961,5280,211171052.00,432136,51.88,3.85,0.95
20-December-2016,257.20,257.20,250.20,251.60,252.695324540811421802,644942,7663,162973828.00,237405,36.81,7.00,-5.60
19-December-2016,256.00,258.95,255.00,257.20,257.943968205423427961,1334064,4046,344113762.00,873537,65.48,3.95,1.20
16-December-2016,258.40,259.95,255.00,255.60,256.693987430420312912,746087,6319,191516047.00,378413,50.72,4.95,-2.80
15-December-2016,259.00,261.60,257.60,260.35,260.236806264128030980,3102874,7131,807482020.00,2476402,79.81,4.00,1.35
14-December-2016,265.00,265.00,260.05,260.65,262.067537262780658648,368330,4535,96527336.00,157356,42.72,4.95,-4.35
13-December-2016,263.00,265.50,262.50,264.75,264.372539270351746196,478669,4542,126546939.00,127091,26.55,3.00,1.75
12-December-2016,268.70,268.70,263.95,264.65,265.732698580981895286,490480,5554,130336574.00,119704,24.41,4.75,-4.05
9-December-2016,263.75,269.50,263.00,268.35,265.583348052740501731,2117386,10217,562342463.00,1209491,57.12,6.50,4.60
8-December-2016,260.80,263.05,258.70,262.20,261.173990001396081664,601684,5227,157144211.00,142079,23.61,4.35,1.40
7-December-2016,262.50,264.35,251.25,258.45,260.025572927360907251,1115281,8908,290001581.00,321712,28.85,13.10,-4.05
6-December-2016,261.10,262.75,259.80,261.20,261.253536721268258780,1251795,5417,327035871.00,491226,39.24,2.95,0.10
5-December-2016,259.95,261.25,257.75,260.75,259.734704246703324925,720347,4910,187099115.00,157908,21.92,3.50,0.80
2-December-2016,258.00,264.50,256.10,259.65,260.175032131191008422,1086172,8226,282594835.00,215954,19.88,8.40,1.65
1-December-2016,266.90,267.95,258.10,259.35,261.107890298085350012,1377223,8205,359603792.00,681074,49.45,9.85,-7.55
30-November-2016,257.00,266.20,256.10,265.00,262.185219771234798474,1161890,9754,304630385.00,390786,33.63,10.10,8.00
29-November-2016,256.00,259.15,254.35,255.75,256.613048285014097467,2103924,9759,539894351.00,809826,38.49,4.80,-0.25
28-November-2016,257.00,257.00,253.75,255.35,254.754433789667770628,2517598,7506,641369253.00,1739426,69.09,3.25,-1.65
25-November-2016,261.90,262.10,257.25,259.85,258.817678274722553364,2862983,13215,740990613.00,1065828,37.23,4.85,-2.05
24-November-2016,264.00,264.00,258.00,259.65,260.346004923373792094,866479,7944,225584346.00,171908,19.84,6.00,-4.35
23-November-2016,265.35,265.80,260.65,265.00,263.543004891329786404,1025488,6395,270260189.00,251600,24.53,5.15,-0.35
22-November-2016,263.00,266.60,259.60,263.35,262.860952924762210654,1176882,13175,309356324.00,271591,23.08,7.00,0.35
21-November-2016,266.00,267.40,255.00,261.55,260.326214500290115837,1963009,13599,511022702.00,729406,37.16,12.40,-4.45
18-November-2016,269.40,269.40,262.50,264.55,266.509869319964233701,1533287,7315,408636118.00,974960,63.59,6.90,-4.85
17-November-2016,267.00,270.55,264.15,267.70,268.275133125912994058,1175391,9477,315328177.00,369652,31.45,6.40,0.70
16-November-2016,275.55,278.00,264.25,266.25,273.054384348845717834,3774597,13401,1030670260.00,2306102,61.10,13.75,-9.30
15-November-2016,278.30,280.65,266.30,269.30,273.569714623579047230,1496795,12164,409477781.00,521245,34.82,14.35,-9.00
11-November-2016,289.00,294.25,275.10,277.00,283.702265833897457860,3981095,15034,1129445672.00,2626281,65.97,19.15,-12.00
10-November-2016,289.50,298.20,286.70,292.55,292.330688688125297182,2061020,16808,602499396.00,495063,24.02,11.50,3.05
9-November-2016,257.00,284.70,254.90,281.55,272.432554251807705071,3630985,37479,989198518.00,626182,17.25,29.80,24.55
8-November-2016,281.60,287.40,278.35,283.20,282.469982653771448324,3225485,14424,911102692.00,1667407,51.69,9.05,1.60
7-November-2016,276.00,280.95,272.55,278.75,275.346275812389255024,2312746,15412,636805998.00,1127283,48.74,8.40,2.75
4-November-2016,271.10,272.60,265.60,269.70,269.471466744552367171,897041,6571,241726954.00,159848,17.82,7.00,-1.40
3-November-2016,272.10,276.30,268.60,269.80,271.761133092835089043,2554142,7342,694116524.00,1199875,46.98,7.70,-2.30
2-November-2016,270.05,273.00,268.85,271.85,270.673340173779916774,1227990,8200,332384155.00,534418,43.52,4.15,1.80
1-November-2016,279.95,279.95,274.65,275.35,277.641540031484103691,1643369,5703,456267500.00,1121021,68.21,5.30,-4.60
30-October-2016,278.95,279.30,275.65,277.00,277.842936215800461487,145616,1876,40458377.00,51556,35.41,3.65,-1.95
28-October-2016,282.60,282.60,276.00,277.10,279.223867316647250801,2162321,8910,603771632.00,1260790,58.31,6.60,-5.50
27-October-2016,277.75,284.75,275.10,283.95,279.963155347925826801,1004352,7817,281181555.00,187821,18.70,9.65,6.20
26-October-2016,286.60,286.60,276.95,278.55,279.746446383843970873,2863773,11971,801130320.00,1796097,62.72,9.65,-8.05
25-October-2016,286.35,291.50,284.70,289.10,287.866051695590115840,1251983,11753,360403403.00,267747,21.39,6.80,2.75
24-October-2016,279.50,286.45,278.00,284.55,283.263566903778430986,3277498,12537,928395774.00,2129544,64.97,8.45,5.05
21-October-2016,276.90,280.00,273.95,277.70,276.709081853753566760,1861283,11557,515033910.00,210342,11.30,6.05,0.80
20-October-2016,266.00,278.60,266.00,277.50,275.345295735120752482,1956937,16610,538833397.00,469907,24.01,12.60,11.50
19-October-2016,271.30,271.50,263.35,265.00,265.965917002228527247,1143356,9880,304093727.00,372930,32.62,8.15,-6.30
18-October-2016,259.90,271.30,259.80,270.40,265.192287594472082145,3530805,20391,936342255.00,1913154,54.18,11.50,10.50
17-October-2016,244.00,259.55,244.00,258.55,256.269751681694408906,4291951,26448,1099897217.00,1529807,35.64,15.55,14.55
14-October-2016,241.20,242.80,240.10,241.85,241.741089730449933381,624448,5757,150954740.00,173060,27.71,2.70,0.65
13-October-2016,249.00,249.00,239.15,241.20,241.465882231979034956,1633958,11466,394545110.00,714743,43.74,9.85,-7.80
10-October-2016,251.10,253.10,249.25,250.10,251.043894289813960989,483662,4140,121420392.00,112022,23.16,3.85,-1.00
7-October-2016,251.50,253.90,248.40,250.60,250.734009630958916831,1464444,6116,367185916.00,957857,65.41,5.50,-0.90
6-October-2016,257.50,257.50,249.50,251.60,253.125852870050575525,791885,6689,200446566.00,233723,29.51,8.00,-5.90
5-October-2016,260.00,260.70,254.70,255.65,256.573956300901544594,1710287,7085,438815102.00,962469,56.28,6.00,-4.35
5-October-2016,260.00,260.70,254.70,255.65,256.573956300901544594,1710287,7085,438815102.00,962469,56.28,6.00,-4.35
4-October-2016,257.00,259.85,255.00,258.20,257.541232458816351433,983400,8293,253266048.00,217400,22.11,4.85,1.20
3-October-2016,254.65,256.80,250.10,256.05,253.489142512020052718,1476907,12259,374379889.00,490208,33.19,6.70,1.40
30-September-2016,249.45,253.35,247.00,252.30,251.541973651551443202,1462477,10883,367874351.00,464410,31.76,6.35,2.85
29-September-2016,263.40,263.65,243.80,251.00,251.320364314215241363,4073297,25710,1023702486.00,1508985,37.05,19.85,-12.40
28-September-2016,261.00,262.30,259.15,260.80,261.259925650040271445,1724547,7714,450555021.00,840299,48.73,3.15,-0.20
27-September-2016,262.50,266.50,259.50,260.80,261.394651245628968628,1793913,11757,468919263.00,879571,49.03,7.00,-1.70
26-September-2016,270.40,270.40,262.50,263.20,264.317482044537436334,2966089,17501,783989176.00,1655847,55.83,7.90,-7.20
23-September-2016,275.55,276.35,270.10,271.80,273.004698378785191633,2407639,13858,657296759.00,1290156,53.59,6.25,-3.75
22-September-2016,276.00,277.50,272.40,275.55,275.611405547146481335,1407210,9312,387843126.00,623959,44.34,5.10,-0.45
21-September-2016,272.55,272.90,266.95,269.65,270.061861450701430297,750823,6433,202768657.00,209334,27.88,5.95,-2.90
20-September-2016,272.90,274.10,269.25,272.00,271.618670769048710856,608427,4925,165260133.00,222690,36.60,4.85,-0.90
19-September-2016,269.00,272.60,268.10,271.85,271.443018071540002536,812161,6175,220455433.00,326556,40.21,4.50,2.85
16-September-2016,273.00,275.60,266.40,267.55,270.282472460571619072,1811766,9935,489688594.00,892411,49.26,9.20,-5.45
15-September-2016,272.00,273.85,268.45,270.65,270.094985105485414318,694551,5649,187594742.00,212301,30.57,5.40,-1.35
14-September-2016,268.00,273.70,266.50,271.60,271.504351949248151034,917405,7884,249079450.00,215161,23.45,7.20,3.60
12-September-2016,267.00,270.10,263.00,268.75,267.928230028070707837,2899820,21319,776943640.00,1354583,46.71,7.10,1.75
9-September-2016,277.00,277.00,270.05,274.15,273.481899375076850126,1472021,9801,402571099.00,379336,25.77,6.95,-2.85
8-September-2016,278.95,280.60,275.60,276.35,278.458722367734541613,1335893,16236,371991058.00,557806,41.76,5.00,-2.60
7-September-2016,273.10,283.60,272.20,278.15,277.466840956208033180,3198509,24204,887480188.00,1202477,37.59,11.40,5.05
6-September-2016,262.00,273.20,262.00,272.45,264.206259681701760521,4028863,16516,1064450824.00,3108279,77.15,11.20,10.45
2-September-2016,262.00,264.30,260.25,261.35,261.906766753875324599,616529,5493,161473117.00,206528,33.50,4.05,-0.65
1-September-2016,257.95,263.90,257.95,260.90,261.873698708036009677,946079,9999,247753207.00,252568,26.70,5.95,2.95
31-August-2016,257.00,260.60,256.80,257.70,258.535777966137728508,1081853,9105,279697707.00,267748,24.75,3.80,0.70
30-August-2016,251.40,257.50,251.40,256.15,255.055374996164787047,912596,11363,232762515.00,373118,40.89,6.10,4.75
29-August-2016,245.95,252.50,244.80,250.40,248.152161506994596232,792040,8126,196546438.00,213499,26.96,7.70,4.45
26-August-2016,248.95,249.00,243.40,245.25,245.838632628099766916,779978,7668,191748725.00,252778,32.41,5.60,-3.70
25-August-2016,248.90,250.15,246.10,247.15,248.461149976680658271,450270,4772,111874602.00,128134,28.46,4.05,-1.75
24-August-2016,250.15,251.65,248.15,248.90,250.075613812737161408,525486,4895,131411234.00,116901,22.25,3.50,-1.25
23-August-2016,251.30,252.10,248.90,250.15,250.119273276157031600,710201,5387,177634958.00,242684,34.17,3.20,-1.15
22-August-2016,254.70,255.80,248.95,252.15,252.039480384745553633,632314,5646,159368092.00,136091,21.52,6.85,-2.55
19-August-2016,253.10,255.60,251.70,254.00,254.008793590294804606,1032684,9718,262310817.00,376285,36.44,3.90,0.90
18-August-2016,248.10,253.85,247.75,252.85,252.170057038285607777,1239343,8530,312525195.00,482914,38.97,6.10,4.75
17-August-2016,248.70,251.35,245.10,247.30,248.283349154901345274,1057628,10906,262591422.00,247875,23.44,6.25,-1.40
16-August-2016,249.15,249.45,243.90,248.70,247.170504556331986751,753018,7301,186123839.00,257371,34.18,5.55,-0.45
12-August-2016,244.15,247.60,241.30,245.95,245.381282748524036756,795074,7428,195096278.00,256682,32.28,6.30,1.80
11-August-2016,240.00,243.50,237.35,242.35,240.978555337245841626,625004,6985,150612561.00,135611,21.70,6.15,2.35
10-August-2016,246.65,246.65,238.55,239.30,241.092485248067480960,787185,7407,189784388.00,282592,35.90,8.10,-7.35
9-August-2016,245.40,248.45,244.50,245.35,246.242717260033416579,621847,6162,153125295.00,149584,24.05,3.95,-0.05
8-August-2016,246.90,247.60,244.70,245.25,245.915624718422210326,566007,6014,139189965.00,198628,35.09,2.90,-1.65
5-August-2016,243.25,248.80,243.25,246.10,246.287164958130508012,3781990,10648,931455595.00,2841372,75.13,5.55,2.85
4-August-2016,244.05,245.00,236.95,240.65,239.249003808339381108,1847787,12751,442081199.00,888774,48.10,8.05,-3.40
3-August-2016,245.40,247.20,240.50,242.00,244.929856773517806651,1751003,9892,428872914.00,963086,55.00,6.70,-3.40
2-August-2016,250.00,250.90,245.00,245.35,246.811674683406061699,1263606,15976,311872713.00,384891,30.46,5.90,-4.65
1-August-2016,257.00,261.45,248.50,249.20,252.403420994497844860,3893020,27024,982611566.00,2322806,59.67,12.95,-7.80
29-July-2016,271.00,271.20,262.00,262.85,264.816075360883635987,1458157,13532,386143414.00,359539,24.66,9.20,-8.15
28-July-2016,273.40,274.00,270.40,272.10,272.384837701771072038,1032482,9203,281232442.00,347164,33.62,3.60,-1.30
27-July-2016,262.30,273.60,262.30,269.90,269.773078650761728326,1362428,14685,367546396.00,287757,21.12,11.30,7.60
26-July-2016,269.00,269.60,260.40,262.05,265.031335493660754484,899555,6784,238410263.00,359285,39.94,9.20,-6.95
25-July-2016,263.00,270.80,260.75,269.15,264.294391532932123655,5510668,7781,1456438646.00,4728440,85.81,10.05,6.15
22-July-2016,262.00,264.50,258.80,263.55,261.827398162196204162,489062,4856,128049831.00,104665,21.40,5.70,1.55
21-July-2016,267.00,269.05,261.40,261.90,263.871184588254103856,838114,7953,221154134.00,250313,29.87,7.65,-5.10
20-July-2016,267.50,268.35,265.55,267.60,267.267451135262374346,384889,5276,102868302.00,56527,14.69,2.80,0.10
19-July-2016,265.00,270.25,263.25,269.15,267.954510252682326094,894839,8373,239776146.00,223944,25.03,7.00,4.15
18-July-2016,266.00,271.25,262.90,263.60,267.455268117088898785,1086764,10604,290660757.00,304777,28.04,8.35,-2.40
15-July-2016,270.00,270.00,263.60,265.20,266.185469854020955037,838271,8734,223135560.00,189454,22.60,6.40,-4.80
14-July-2016,261.80,269.00,259.75,268.25,264.919970685232685965,1064310,10416,281956974.00,348200,32.72,9.25,6.45
13-July-2016,262.80,267.90,259.30,261.15,264.820875118097688131,4392550,16994,1163238935.00,2667927,60.74,8.60,-1.65
12-July-2016,252.00,262.00,250.80,261.55,256.828443020175489486,2395927,16276,615342201.00,1096927,45.78,11.20,9.55
11-July-2016,246.00,250.65,246.00,249.85,249.646752928600062358,808236,8183,201773493.00,309075,38.24,4.65,3.85
8-July-2016,243.60,244.15,239.65,241.55,241.112348376864292034,784346,7060,189115506.00,210348,26.82,4.50,-2.05
7-July-2016,245.30,247.20,243.85,244.45,245.644383724132087860,472110,4325,115971170.00,70400,14.91,3.35,-0.85
