,Unnamed: 0,adbl.rating.overall.count,adbl.rating.overall.value,adbl.rating.performance.count,adbl.rating.performance.value,adbl.rating.story.count,adbl.rating.story.value,amazon.rating.overall.count,amazon.rating.overall.value,authors,category,length,narrated_by,price,program_format,publisher,release_date,scrap_date,series,subcategory,title,url
0,0,188.0,4.4,188.0,4.4,188.0,4.4,,,Jon Ronson,Radio & TV,207.0,Jon Ronson,0.0,,Audible Originals,2017-07-27,2017-07-28,,Documentaries,The Butterfly Effect with Jon Ronson,
1,1,230.0,4.1,230.0,4.1,230.0,4.1,298.0,4.3,Shalini Boland,Mysteries & Thrillers,451.0,Saskia Maarleveld,2.95,Unabridged,Tantor Audio,2017-01-03,2017-07-28,,Psychological,The Best Friend,
2,2,37367.0,4.5,37367.0,4.5,37367.0,4.5,1651.0,4.6,Mark Manson,Self Development,330.0,Roger Wayne,23.95,Unabridged,HarperAudio,2016-09-13,2017-07-28,,Motivation & Inspiration,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,
3,3,89047.0,4.7,89047.0,4.7,89047.0,4.7,12631.0,4.6,Ernest Cline,Sci-Fi & Fantasy,946.0,Wil Wheaton,31.5,Unabridged,Random House Audio,2011-08-16,2017-07-28,,Sci-Fi: Contemporary,Ready Player One,
4,4,9655.0,4.8,9655.0,4.8,9655.0,4.8,320.0,4.8,"Kevin Hart , Neil Strauss - contributor",Comedy,674.0,Kevin Hart,29.95,Unabridged,Audible Studios,2017-06-06,2017-07-28,,Memoirs,I Can't Make This Up: Life Lessons,
5,5,12367.0,4.3,12367.0,4.3,12367.0,4.3,3077.0,4.3,Stephen King,Fiction,440.0,George Guidall,18.89,Unabridged,Simon & Schuster Audio,2016-01-01,2017-07-28,"Series: The Dark Tower, Book 1",Horror,The Dark Tower I: The Gunslinger,
6,6,68681.0,4.7,68681.0,4.7,68681.0,4.7,9527.0,4.6,George R. R. Martin,Sci-Fi & Fantasy,2030.0,Roy Dotrice,31.5,Unabridged,Random House Audio,2003-12-09,2017-07-28,"Series: Song of Ice and Fire, Book 1",Fantasy: Epic,"A Game of Thrones: A Song of Ice and Fire, Book 1",
7,7,7714.0,4.6,7714.0,4.6,7714.0,4.6,301.0,4.5,Mel Robbins,Self Development,457.0,Mel Robbins,19.95,Unabridged,Mel Robbins Productions Inc.,2017-02-22,2017-07-28,,Motivation & Inspiration,"The 5 Second Rule: Transform your Life, Work, and Confidence with Everyday Courage",
8,8,8370.0,4.5,8370.0,4.5,8370.0,4.5,7079.0,4.1,"Margaret Atwood , Valerie Martin - essay",Fiction,732.0,"Claire Danes , Margaret Atwood , full cast",29.95,Unabridged,Audible Studios,2017-04-04,2017-07-28,,Literary,The Handmaid's Tale: Special Edition,
9,9,39552.0,4.9,39552.0,4.9,39552.0,4.9,14847.0,4.7,J.K. Rowling,Kids,514.0,Jim Dale,29.99,Unabridged,Pottermore from J.K. Rowling,2015-11-20,2017-07-28,"Series: Harry Potter, Book 1",Ages 8-10,"Harry Potter and the Sorcerer's Stone, Book 1",
10,10,4525.0,4.7,4525.0,4.7,4525.0,4.7,905.0,4.6,Neil deGrasse Tyson,Science & Technology,221.0,Neil deGrasse Tyson,17.47,Unabridged,"Blackstone Audio, Inc.",2017-05-02,2017-07-28,,Astronomy,Astrophysics for People in a Hurry,
11,11,9514.0,4.7,9514.0,4.7,9514.0,4.7,2636.0,4.6,Stephen King,Fiction,2697.0,Steven Weber,37.79,Unabridged,Simon & Schuster Audio,2016-01-01,2017-07-28,,Horror,It,
12,12,5109.0,4.0,5109.0,4.0,5109.0,4.0,2235.0,3.9,John Grisham,Mysteries & Thrillers,525.0,January LaVoy,31.5,Unabridged,Random House Audio,2017-06-06,2017-07-28,,Suspense,Camino Island: A Novel,
13,13,21358.0,4.5,21358.0,4.5,21358.0,4.5,7738.0,4.4,J. D. Vance,Nonfiction,409.0,J. D. Vance,25.09,Unabridged,HarperAudio,2016-06-28,2017-07-28,,Social Sciences,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,
14,14,904.0,4.4,904.0,4.4,904.0,4.4,450.0,4.2,Michael Connelly,Mysteries & Thrillers,562.0,Katherine Moennig,30.79,Unabridged,Hachette Audio,2017-07-18,2017-07-28,,Police Procedurals,The Late Show,
15,15,1049.0,4.4,1049.0,4.4,1049.0,4.4,20.0,3.7,"Joe Harris , Chris Carter , Dirk Maggs - adaptation",Sci-Fi & Fantasy,245.0,"David Duchovny , Gillian Anderson , Mitch Pileggi , Willliam B. Davis , Tom Braidwood , Dean Haglund , Bruce Harwood",24.95,,Audible Studios,2017-07-18,2017-07-28,"Series: The X-Files (Audible Original), Book 1",Fantasy: Paranormal,The X-Files: Cold Cases,
16,16,674.0,4.4,674.0,4.4,674.0,4.4,1145.0,4.6,Danielle Steel,Romance,496.0,Alexander Cendese,27.29,Unabridged,Brilliance Audio,2015-09-01,2017-07-28,,Suspense,Undercover,
17,17,,,,,,,,,Dennis E. Taylor,Sci-Fi & Fantasy,,Ray Porter,19.95,Unabridged,Audible Studios,2017-08-08,2017-07-28,"Series: Bobiverse, Book 3",Sci-Fi: Contemporary,"All These Worlds: Bobiverse, Book 3",
18,18,5566.0,4.9,5566.0,4.9,5566.0,4.9,933.0,4.7,Al Franken,Bios & Memoirs,725.0,Al Franken,29.65,Unabridged,Hachette Audio,2017-05-30,2017-07-28,,Political Figures,"Al Franken, Giant of the Senate",
19,19,92.0,4.6,92.0,4.6,92.0,4.6,29.0,4.5,Mark Forsyth,Language Instruction,387.0,Don Hagen,19.59,Unabridged,"Gildan Media, LLC",2014-03-21,2017-07-28,,English,The Horologicon: A Day's Jaunt Through the Lost Words of the English Language,
20,20,219.0,4.6,219.0,4.6,219.0,4.6,12.0,4.4,Christie Golden,Sci-Fi & Fantasy,622.0,Janina Gavankar,31.5,Unabridged,Random House Audio,2017-07-25,2017-07-28,"Series: Star Wars, Book 16",Star Wars,Battlefront II: Inferno Squad (Star Wars),
21,21,27110.0,4.9,27110.0,4.9,27110.0,4.9,20075.0,4.7,J.K. Rowling,Kids,564.0,Jim Dale,29.99,Unabridged,Pottermore from J.K. Rowling,2015-11-20,2017-07-28,"Series: Harry Potter, Book 2",Ages 8-10,"Harry Potter and the Chamber of Secrets, Book 2",
22,22,43418.0,4.9,43418.0,4.9,43418.0,4.9,2907.0,4.8,Trevor Noah,Bios & Memoirs,530.0,Trevor Noah,24.95,Unabridged,Audible Studios,2016-11-15,2017-07-28,,Celebrities,Born a Crime: Stories from a South African Childhood,
23,23,2396.0,4.3,2396.0,4.3,2396.0,4.3,801.0,4.6,Ken Grimwood,Sci-Fi & Fantasy,685.0,William Dufris,20.72,Unabridged,Tantor Audio,2008-12-05,2017-07-28,,Sci-Fi: Contemporary,Replay,
24,24,34067.0,4.6,34067.0,4.6,34067.0,4.6,6038.0,4.7,Dale Carnegie,Business,439.0,Andrew MacMillan,31.93,Unabridged,Simon & Schuster Audio,2004-09-17,2017-07-28,,Career Skills,How to Win Friends & Influence People,
25,25,24498.0,4.9,24498.0,4.9,24498.0,4.9,21224.0,4.7,J.K. Rowling,Kids,735.0,Jim Dale,29.99,Unabridged,Pottermore from J.K. Rowling,2015-11-20,2017-07-28,"Series: Harry Potter, Book 3",Ages 8-10,"Harry Potter and the Prisoner of Azkaban, Book 3",
26,26,657.0,4.8,657.0,4.8,657.0,4.8,519.0,4.8,Lisa Wingate,Fiction,868.0,"Emily Rankin , Catherine Taber",35.0,Unabridged,Random House Audio,2017-06-06,2017-07-28,,Historical,Before We Were Yours: A Novel,
27,27,122.0,4.7,122.0,4.7,122.0,4.7,32.0,4.3,Michael J. Sullivan,Sci-Fi & Fantasy,1202.0,Tim Gerard Reynolds,38.49,Unabridged,Recorded Books,2017-07-25,2017-07-28,"Series: Legends of the First Empire, Book 2",Fantasy: Epic,"Age of Swords: The Legends of the First Empire, Book 2",
28,28,21471.0,4.9,21471.0,4.9,21471.0,4.9,21224.0,4.7,J.K. Rowling,Kids,1622.0,Jim Dale,44.99,Unabridged,Pottermore from J.K. Rowling,2015-11-20,2017-07-28,"Series: Harry Potter, Book 5",Ages 8-10,"Harry Potter and the Order of the Phoenix, Book 5",
29,29,23294.0,4.9,23294.0,4.9,23294.0,4.9,20075.0,4.7,J.K. Rowling,Kids,1272.0,Jim Dale,44.99,Unabridged,Pottermore from J.K. Rowling,2015-11-20,2017-07-28,"Series: Harry Potter, Book 4",Ages 8-10,"Harry Potter and the Goblet of Fire, Book 4",
30,30,30007.0,4.4,30007.0,4.4,30007.0,4.4,4248.0,4.5,Charles Duhigg,Science & Technology,657.0,Mike Chamberlain,28.0,Unabridged,Random House Audio,2012-02-28,2017-07-28,,Psychology & The Mind,The Power of Habit: Why We Do What We Do in Life and Business,
31,31,44018.0,4.7,44018.0,4.7,44018.0,4.7,4222.0,4.6,George R. R. Martin,Sci-Fi & Fantasy,2238.0,Roy Dotrice,63.0,Unabridged,Random House Audio,2004-01-30,2017-07-28,"Series: Song of Ice and Fire, Book 2",Fantasy: Epic,"A Clash of Kings: A Song of Ice and Fire, Book 2",
32,32,,,,,,,,,Larry Correia,Sci-Fi & Fantasy,932.0,Oliver Wyman,29.95,Unabridged,Audible Studios,2017-08-01,2017-07-28,"Series: Monster Hunter, Book 6",Fantasy: Paranormal,"Monster Hunter Siege: Monster Hunter, Book 6",
33,33,21072.0,4.4,21072.0,4.4,21072.0,4.4,7079.0,4.1,Margaret Atwood,Fiction,660.0,Claire Danes,24.95,Unabridged,Audible Studios,2012-07-20,2017-07-28,,Literary,The Handmaid's Tale,
34,34,1035.0,4.5,1035.0,4.5,1035.0,4.5,3494.0,4.6,Rachel Caine,Mysteries & Thrillers,604.0,Emily Sutton-Smith,10.49,Unabridged,Brilliance Audio,2017-07-01,2017-07-28,"Series: Stillhouse Lake, Book 1",Psychological,Stillhouse Lake,
35,35,19836.0,4.9,19836.0,4.9,19836.0,4.9,6175.0,4.5,J.K. Rowling,Kids,1135.0,Jim Dale,44.99,Unabridged,Pottermore from J.K. Rowling,2015-11-20,2017-07-28,"Series: Harry Potter, Book 6",Ages 8-10,"Harry Potter and the Half-Blood Prince, Book 6",
36,36,36507.0,5.0,36507.0,5.0,36507.0,5.0,21224.0,4.7,J.K. Rowling,Kids,1296.0,Jim Dale,44.99,Unabridged,Pottermore from J.K. Rowling,2015-11-20,2017-07-28,"Series: Harry Potter, Book 7",Ages 8-10,"Harry Potter and the Deathly Hallows, Book 7",
37,37,3288.0,4.8,3288.0,4.8,3288.0,4.8,249.0,4.8,"Dalai Lama , Desmond Tutu , Douglas Carlton Abrams",Self Development,612.0,"Douglas Carlton Abrams , full cast",28.0,Unabridged,Penguin Audio,2016-09-20,2017-07-28,,Motivation & Inspiration,The Book of Joy: Lasting Happiness in a Changing World,
38,38,46408.0,4.6,46408.0,4.6,46408.0,4.6,13505.0,4.6,Fredrik Backman,Fiction,549.0,George Newbern,34.99,Unabridged,"Dreamscape Media, LLC",2014-08-05,2017-07-28,,Literary,A Man Called Ove,
39,39,1341.0,4.6,1341.0,4.6,1341.0,4.6,839.0,4.7,Joe Dispenza,Self Development,649.0,Adam Boyce,24.95,Unabridged,Author's Republic,2016-10-21,2017-07-28,,Motivation & Inspiration,Breaking the Habit of Being Yourself: How to Lose Your Mind and Create a New One,
40,40,1341.0,4.6,1341.0,4.6,1341.0,4.6,839.0,4.7,Joe Dispenza,Self Development,649.0,Adam Boyce,24.95,Unabridged,Author's Republic,2016-10-21,2017-07-28,,Motivation & Inspiration,Breaking the Habit of Being Yourself: How to Lose Your Mind and Create a New One,
41,41,18564.0,4.6,18564.0,4.6,18564.0,4.6,2592.0,4.7,Jen Sincero,Self Development,345.0,Jen Sincero,24.49,Unabridged,Tantor Audio,2013-09-16,2017-07-28,,Motivation & Inspiration,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,
42,42,,,,,,,,,Brandon Sanderson,Sci-Fi & Fantasy,2940.0,"Kate Reading , Michael Kramer",62.99,Unabridged,Macmillan Audio,2017-11-14,2017-07-28,"Series: Stormlight Archive, Book 3",Fantasy: Epic,Oathbringer,
43,43,631.0,4.7,631.0,4.7,631.0,4.7,649.0,4.6,Daniel Silva,Mysteries & Thrillers,780.0,George Guidall,31.93,Unabridged,Harper Audio,2017-07-11,2017-07-28,"Series: Gabriel Allon, Book 17",Espionage,House of Spies: A Novel,
44,44,284.0,4.3,284.0,4.3,284.0,4.3,229.0,4.2,B. A. Paris,Mysteries & Thrillers,560.0,Georgia Maguire,27.99,Unabridged,Macmillan Audio,2017-07-18,2017-07-28,,Suspense,The Breakdown,
45,45,749.0,4.5,749.0,4.5,749.0,4.5,654.0,4.0,Thomas Hardy,Classics,892.0,Jamie Parker,31.49,Unabridged,Naxos AudioBooks,2014-05-27,2017-07-28,,British Literature,Far From the Madding Crowd,
46,46,,,,,,,,,Dan Brown,Mysteries & Thrillers,960.0,To Be Announced,42.0,Unabridged,Random House Audio,2017-10-03,2017-07-28,,Suspense,Origin: A Novel,
47,47,16601.0,4.7,16601.0,4.7,16601.0,4.7,888.0,4.3,Neil Gaiman,Fiction,389.0,Neil Gaiman,23.95,Unabridged,HarperAudio,2017-02-07,2017-07-28,,Historical,Norse Mythology,
48,48,14741.0,4.5,14741.0,4.5,14741.0,4.5,4689.0,4.5,Stephen R. Covey,Business,784.0,Stephen R. Covey,28.3,Unabridged,Simon & Schuster Audio,2004-10-06,2017-07-28,,Leadership,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,
49,49,5450.0,4.7,5450.0,4.7,5450.0,4.7,9769.0,4.9,R. J. Palacio,Kids,486.0,"Diana Steele , Nick Podehl , Kate Rudd",3.95,Unabridged,Brilliance Audio,2012-02-14,2017-07-28,"Series: Wonder, Book 1",Ages 8-10,Wonder,
50,50,24.0,4.5,24.0,4.5,24.0,4.5,6.0,5.0,Emily Bearn,Kids,182.0,Bill Wallis,3.95,Unabridged,Audible Studios,2008-05-13,2017-07-28,,Ages 8-10,Tumtum and Nutmeg,
51,51,609.0,4.4,609.0,4.4,609.0,4.4,132.0,4.3,"James Patterson , Howard Roughan",Mysteries & Thrillers,427.0,Edoardo Ballerini,30.79,Unabridged,Hachette Audio,2017-06-26,2017-07-28,,Suspense,Murder Games,
52,52,3478.0,4.6,3478.0,4.6,3478.0,4.6,2.0,5.0,Esther Perel,Self Development,46.0,Esther Perel,0.0,,Audible Originals,2017-05-18,2017-07-28,"Series: Where Should We Begin? with Esther Perel, Book 1",Relationships,Ep. 1: I've Had Better,
53,53,14996.0,4.8,14996.0,4.8,14996.0,4.8,1518.0,4.8,"Jocko Willink , Leif Babin",Business,495.0,"Jocko Willink , Leif Babin",27.99,Unabridged,Macmillan Audio,2015-10-20,2017-07-28,,Leadership,Extreme Ownership: How U.S. Navy SEALs Lead and Win,
54,54,5649.0,4.0,5649.0,4.0,5649.0,4.0,1046.0,3.3,Paula Hawkins,Mysteries & Thrillers,691.0,"Laura Aikman , Rachel Bavidge , Sophie Aldred , Daniel Weyman , Imogen Church , Laura Aikman",28.0,Unabridged,Penguin Audio,2017-05-02,2017-07-28,,Supernatural & Paranormal,Into the Water,
55,55,29668.0,4.5,29668.0,4.5,29668.0,4.5,5669.0,4.4,Neil Gaiman,Sci-Fi & Fantasy,1179.0,"Ron McLarty , Daniel Oreskes , full cast",42.2,Unabridged,HarperAudio,2011-06-21,2017-07-28,"Series: American Gods, Book 1",Fantasy: Contemporary,American Gods: The Tenth Anniversary Edition (A Full Cast Production),
56,56,1821.0,4.3,1821.0,4.3,1821.0,4.3,334.0,4.4,Thomas Perry,Mysteries & Thrillers,673.0,Peter Berkrot,27.99,Unabridged,"HighBridge, a division of Recorded Books",2017-01-03,2017-07-28,,Suspense,The Old Man,
57,57,63.0,4.9,63.0,4.9,63.0,4.9,140.0,4.5,Terry Mancour,Sci-Fi & Fantasy,1898.0,John Lee,39.99,Unabridged,Podium Publishing,2017-07-25,2017-07-28,"Series: Spellmonger, Book 3",Fantasy: Epic,"Magelord: The Spellmonger Series, Book 3",
58,58,3929.0,4.6,3929.0,4.6,3929.0,4.6,852.0,4.2,Nora Roberts,Fiction,1037.0,Elisabeth Rodgers,27.99,Unabridged,Brilliance Audio,2017-05-30,2017-07-28,,Contemporary,Come Sundown,
59,59,1697.0,4.8,1697.0,4.8,1697.0,4.8,919.0,4.7,Dr. Jason Fung,Health & Fitness,609.0,Brian Nishii,24.95,Unabridged,Audible Studios,2016-12-20,2017-07-28,,Diets & Nutrition,The Obesity Code: Unlocking the Secrets of Weight Loss,
1,1,470.0,4.6,470.0,4.6,470.0,4.6,41.0,4.6,Michael D. Blutrich,Bios & Memoirs,652.0,Michael D. Blutrich,24.47,Unabridged,"Blackstone Audio, Inc.",2017-01-31,2017-07-31,,Criminals,"Scores: How I Opened the Hottest Strip Club in New York City, Was Extorted out of Millions by the Gambino Family, and Became One of the Most Successful Mafia Informants in FBI History",
3,3,2049.0,4.3,2049.0,4.3,2049.0,4.3,635.0,4.6,Benjamin Hoff,Nonfiction,166.0,Simon Vance,13.99,Unabridged,Tantor Audio,2012-01-23,2017-07-31,,Philosophy,The Tao of Pooh,
4,4,3797.0,4.2,3797.0,4.2,3797.0,4.2,1520.0,4.2,Craig A. Falconer,Sci-Fi & Fantasy,1379.0,James Patrick Cronin,5.95,Unabridged,Audible Studios,2016-08-09,2017-07-31,,Sci-Fi: Contemporary,Not Alone,
15,15,2204.0,4.7,2204.0,4.7,2204.0,4.7,6321.0,4.8,Mark Sullivan,Fiction,1063.0,Will Damron,23.99,Unabridged,Brilliance Audio,2017-05-01,2017-07-31,,Historical,Beneath a Scarlet Sky: A Novel,
23,23,4776.0,4.5,4776.0,4.5,4776.0,4.5,5886.0,4.6,Jeannette Walls,Bios & Memoirs,625.0,Jeannette Walls,27.93,Unabridged,Simon & Schuster Audio,2010-09-28,2017-07-31,,Personal Memoirs,The Glass Castle: A Memoir [Audiobook],
31,31,745.0,4.6,745.0,4.6,745.0,4.6,252.0,4.7,Kate Quinn,Fiction,907.0,Saskia Maarleveld,31.93,Unabridged,Harper Audio,2017-06-06,2017-07-31,,Historical,The Alice Network: A Novel,
33,33,1090.0,4.5,1090.0,4.5,1090.0,4.5,246.0,4.0,Don Winslow,Mysteries & Thrillers,806.0,Dion Graham,27.97,Unabridged,"Blackstone Audio, Inc.",2017-06-20,2017-07-31,,Police Procedurals,The Force: A Novel,
39,39,1390.0,4.6,1390.0,4.6,1390.0,4.6,342.0,4.4,Andrew Rowe,Sci-Fi & Fantasy,1318.0,Nick Podehl,34.99,Unabridged,Podium Publishing,2017-07-04,2017-07-31,"Series: Arcane Ascension, Book 1",Fantasy: Epic,"Sufficiently Advanced Magic: Arcane Ascension, Book 1",
48,48,7757.0,4.7,7757.0,4.7,7757.0,4.7,1046.0,4.6,Stephen King,Fiction,767.0,Frank Muller,22.67,Unabridged,Simon & Schuster Audio,2016-01-01,2017-07-31,"Series: The Dark Tower, Book 2",Horror,The Dark Tower II: The Drawing of the Three,
49,49,67.0,3.7,67.0,3.7,67.0,3.7,144.0,4.0,Marcus Sakey,Mysteries & Thrillers,712.0,Finty Williams,24.49,Unabridged,Brilliance Audio,2017-07-18,2017-07-31,,Supernatural & Paranormal,Afterlife,
51,51,274.0,4.7,274.0,4.7,274.0,4.7,,,Esther Perel,Self Development,36.0,Esther Perel,0.0,,Audible Originals,2017-06-30,2017-07-31,"Series: Where Should We Begin? with Esther Perel, Book 9",Relationships,Ep. 9: Trauma Doesn't Like to Be Touched,
53,53,459.0,4.7,459.0,4.7,459.0,4.7,,,Esther Perel,Self Development,33.0,Esther Perel,0.0,,Audible Originals,2017-06-23,2017-07-31,"Series: Where Should We Begin? with Esther Perel, Book 8",Relationships,Ep. 8: Sexlessness,
55,55,190.0,4.8,190.0,4.8,190.0,4.8,,,Esther Perel,Self Development,40.0,Esther Perel,0.0,,Audible Originals,2017-07-07,2017-07-31,"Series: Where Should We Begin? with Esther Perel, Book 10",Relationships,Ep. 10: I Can't Give You a Child,
59,59,594.0,4.7,594.0,4.7,594.0,4.7,,,Esther Perel,Self Development,43.0,Esther Perel,0.0,,Audible Originals,2017-06-09,2017-07-31,"Series: Where Should We Begin? with Esther Perel, Book 6",Relationships,Ep. 6: There's You There's Me and There's Us,
0,0,236.0,4.3,236.0,4.3,236.0,4.3,7.0,3.9,Lucy Dawson,Mysteries & Thrillers,590.0,Jessica Ball,3.95,Unabridged,Bolinda Publishing Pty Ltd,2017-01-05,2017-08-01,,Suspense,Everything You Told Me,http://www.audible.com/pd/Mysteries-Thrillers/Everything-You-Told-Me-Audiobook/B01N2REBR5/ref=a_adblbests_c2_1_t/147-7907289-7449118?ie=UTF8&pf_rd_r=00A6ZDXSH80SS75993GB&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
10,10,2.0,4.5,2.0,4.5,2.0,4.5,4.0,4.7,Rhys Bowen,Mysteries & Thrillers,597.0,Katherine Kellgren,19.95,Unabridged,Audible Studios,2017-08-01,2017-08-01,"Series: Royal Spyness, Book 11",Historical,"On Her Majesty's Frightfully Secret Service: A Royal Spyness Mystery, Book 11",http://www.audible.com/pd/Mysteries-Thrillers/On-Her-Majestys-Frightfully-Secret-Service-Audiobook/B0744X249W/ref=a_adblbests_c2_11_t/147-7907289-7449118?ie=UTF8&pf_rd_r=00A6ZDXSH80SS75993GB&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
40,40,3.0,4.7,3.0,4.7,3.0,4.7,1.0,4.0,"James Patterson , Maxine Paetro",Mysteries & Thrillers,143.0,Kate Russell,11.39,Unabridged,Hachette Audio,2017-08-01,2017-08-01,"Series: Women's Murder Club, Book 16.5",Suspense,The Medical Examiner: A Women's Murder Club Story,http://www.audible.com/pd/Mysteries-Thrillers/The-Medical-Examiner-Audiobook/B0735JLT4G/ref=a_adblbests_c2_1_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
56,56,1771.0,4.6,1771.0,4.6,1771.0,4.6,,,Esther Perel,Self Development,35.0,Esther Perel,0.0,,Audible Originals,2017-05-18,2017-08-01,"Series: Where Should We Begin? with Esther Perel, Book 2",Relationships,Ep. 2: Motherless Women,http://www.audible.com/pd/Self-Development/Ep-2-Motherless-Women-Audiobook/B0719HL2F1/ref=a_adblbests_c2_17_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
58,58,,,,,,,22.0,3.9,Dinesh D'Souza,Nonfiction,570.0,David Cochran Heath,24.47,Unabridged,"Blackstone Audio, Inc.",2017-07-31,2017-08-01,,Politics,The Big Lie: Exposing the Nazi Roots of the American Left,http://www.audible.com/pd/Nonfiction/The-Big-Lie-Audiobook/B072BWWW3X/ref=a_adblbests_c2_19_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
59,59,,,,,,,26.0,4.1,"Jonathan Kellerman , Jesse Kellerman",Mysteries & Thrillers,578.0,Dennis Boutsikaris,28.0,Unabridged,Random House Audio,2017-08-01,2017-08-01,,Suspense,Crime Scene: A Novel,http://www.audible.com/pd/Mysteries-Thrillers/Crime-Scene-Audiobook/B071987HZ1/ref=a_adblbests_c2_20_t?ie=UTF8&pf_rd_r=1NDF6R7N1CCXTTR1320A&pf_rd_m=A2ZO8JX97D5MN9&pf_rd_t=101&pf_rd_i=adblbestsellers&pf_rd_p=1815570102&pf_rd_s=center-2
